holding_symbol_id,symbol_id
498,367
498,109
498,484
498,272
498,364
498,373
498,300
498,437
498,312
498,95
498,269
498,422
498,311
498,203
498,427
498,273
498,509
498,11
498,263
498,158
498,134
498,266
498,231
498,140
498,90
498,306
498,96
498,448
498,59
498,262
498,75
498,476
498,429
498,409
498,289
498,228
498,111
493,303
493,209
493,208
493,333
493,440
493,473
493,151
493,138
493,428
493,98
493,92
493,450
493,351
493,477
493,291
493,246
493,346
493,325
493,193
493,358
493,192
493,345
502,33
502,447
502,219
502,296
502,284
502,63
502,335
502,438
502,406
502,100
502,5
502,354
502,294
502,50
502,223
502,206
502,179
502,401
502,136
502,286
502,505
502,276
502,390
502,446
502,152
502,344
502,370
502,212
502,132
502,458
502,210
502,41
502,288
502,145
502,144
502,177
502,56
502,83
502,378
502,280
502,304
502,271
502,55
502,441
502,490
502,126
502,172
502,328
502,216
502,71
502,396
502,305
494,503
494,125
494,107
494,163
494,315
494,410
494,383
494,386
494,466
494,483
494,350
494,356
494,220
494,180
494,270
494,215
494,149
494,64
494,442
494,121
494,319
494,167
494,38
495,261
495,464
495,292
495,52
495,481
495,213
495,416
495,49
495,368
495,320
495,74
495,407
495,66
495,79
495,309
495,72
495,187
495,236
495,99
495,387
495,463
495,36
495,299
495,374
495,105
495,18
495,20
495,435
495,445
495,24
495,302
495,17
495,189
495,62
495,31
495,321
495,381
495,7
495,211
495,133
495,221
495,488
495,444
495,395
495,190
495,329
495,324
495,420
495,110
495,217
495,69
495,80
495,94
495,393
495,366
495,485
495,341
495,183
495,425
495,89
495,156
495,264
495,274
495,258
495,19
495,58
495,307
495,97
495,253
495,204
500,331
500,414
500,147
500,87
500,15
500,417
500,127
500,175
500,362
500,363
500,154
500,491
500,157
500,479
500,47
500,171
500,146
500,168
500,380
500,185
500,14
500,104
500,43
500,102
500,338
500,283
500,173
500,334
500,16
500,376
496,78
496,199
496,455
496,460
496,403
496,225
496,170
496,131
496,461
496,12
496,282
496,51
496,482
496,369
496,430
496,252
496,118
496,449
496,198
496,336
496,161
496,361
496,184
496,119
496,339
496,310
496,112
496,77
496,257
496,462
496,214
496,29
496,101
496,181
496,402
496,278
496,355
496,360
496,349
496,511
496,248
496,385
496,468
496,398
496,128
496,504
496,155
496,197
496,474
496,234
496,142
496,68
496,65
496,48
496,232
496,510
496,452
496,254
496,238
496,287
496,275
496,176
496,295
496,454
496,412
496,330
496,255
496,423
496,375
496,399
496,25
496,37
496,222
496,129
496,359
496,2
496,91
496,207
496,394
501,281
501,459
501,259
501,317
501,4
501,439
501,6
501,137
501,365
501,30
501,250
501,159
501,426
501,301
501,93
501,470
501,70
501,67
501,392
501,124
501,202
501,508
501,298
501,57
501,218
501,174
501,150
501,247
501,233
501,237
501,1
501,108
501,103
501,200
501,318
501,487
501,60
501,397
501,326
501,76
501,506
501,23
501,313
501,54
501,418
501,240
501,106
501,475
501,224
501,277
501,135
501,472
501,404
501,377
501,114
501,120
501,432
501,436
501,457
501,241
501,229
501,512
501,148
501,61
492,279
492,408
492,182
492,153
492,39
492,342
492,332
492,143
492,123
492,308
492,467
492,379
492,130
492,290
492,419
492,239
492,53
492,46
492,371
492,86
492,88
492,22
492,27
492,245
492,486
492,160
492,314
492,191
499,372
499,32
499,165
499,480
499,415
499,348
499,382
499,139
499,82
499,117
499,178
499,465
499,44
499,81
499,489
499,249
499,405
499,166
499,244
499,42
499,471
499,169
499,293
499,230
499,141
499,267
499,456
499,113
499,391
499,73
499,194
497,322
497,3
497,45
497,343
497,115
497,28
497,9
497,8
497,116
497,353
497,388
497,243
497,235
497,26
497,337
497,242
497,451
497,327
497,285
497,10
497,268
497,357
497,413
497,84
497,40
497,34
497,347
497,323
497,400
497,411
497,13
497,297
497,433
497,196
497,251
497,122
497,85
497,316
497,188
497,35
497,352
497,265
497,227
497,205
497,226
497,478
497,384
497,340
497,431
497,195
497,453
497,256
497,469
497,421
497,162
497,21
497,434
497,424
497,443
497,164
497,507
497,260
497,201
497,389
497,186
